name_std,symbol_std,ico_successful,softcap_usd,amount raised_usd
friend,FRND,1,4819200.0,424080.0
cryptoleaf,CLF,1,3855360.0,500000.0
localtokenexchange,LTE,1,1101220.0,557052.0
2100newsico,NWS,1,6000000.0,632900.0
vivanetwork,VIVA,1,,636511.0
gooreo,OREO,1,1445760.0,839881.0
eiracube,BRETT,1,3000000.0,912325.0
krypteum,KTM,1,12756000.0,1000000.0
vernam,VRN,1,2040000.0,1000000.0
viso,VITO,1,3000000.0,1000000.0
iprotocolnetwork,IPN,1,,1011686.0
thesunexchange,SUNEX,1,5400000.0,1068205.0
zapit,ZAPIT,1,,1185990.0
vio,VIO,1,,1200000.0
fic,FIC,1,35000000.0,1224803.0
iagon,IAG,1,2409600.0,1425200.0
3ccoin,3cCoin,1,11100000.0,1498000.0
blockchainio,BCIO,1,,1500000.0
stex,A2A,1,27050400.0,1500000.0
a2btaxi,TAXI,1,,1500000.0
outing,OTG,1,20000000.0,1600000.0
hpq,HPQ,1,1650000.0,1636776.0
cryptelo,CRL,1,,1922000.0
labelscoin,LBSC,1,5000000.0,1931000.0
ponteminc,PNM,1,,2500000.0
bitsharesmedia,BTSMD,1,7500000.0,2600000.0
voconetwork,VOCT,1,,3524057.0
beeasy,ETKN,1,,3969129.0
everycoin,EYC,1,9156480.0,4000000.0
triwer,TRW,1,5000000.0,4690466.0
aisicoin,AISI,1,,5000000.0
savetoken,SAVE,1,,6987000.0
criptohub,CHBR,1,,8629000.0
garudaenergy,GRD,1,,10000000.0
shiftcash,SCASH,1,,12800000.0
suchapp,SPS,1,,14513770.0
theworldnews,TWN,1,,19542300.0
cremit,CRMT,1,90000000.0,27000000.0
dacsee,DCSC,1,,31158537.0
