source_dataset,row_index,symbol,name,coingecko_found,cmc_found,cryptototem_found,note
icpsr_villanueva,1346,OCTb,opencryptotrust,False,False,False,not_found_anywhere
icpsr_villanueva,1348,1AP,1apayment,False,False,False,not_found_anywhere
icpsr_villanueva,1351,LEXR,lexray,False,False,False,not_found_anywhere
icpsr_villanueva,1352,CADV,coinadvisor,False,False,False,not_found_anywhere
icpsr_villanueva,1353,SPTX,sprintx,False,False,False,not_found_anywhere
icpsr_villanueva,1355,BACE,baceexchange,False,False,False,not_found_anywhere
icpsr_villanueva,1358,NCU,ncloudswiss,False,False,False,not_found_anywhere
icpsr_villanueva,1359,SLNT,silent,False,False,False,not_found_anywhere
icpsr_villanueva,1360,FLI,yappadappadoo,False,False,False,not_found_anywhere
icpsr_villanueva,1362,GLIF,globalicofund,False,False,False,not_found_anywhere
icpsr_villanueva,1363,GCP,globcoin,False,False,False,not_found_anywhere
icpsr_villanueva,1365,Bdaq,bdaq,False,False,False,not_found_anywhere
icpsr_villanueva,1367,XRBT,xtribe,False,False,False,not_found_anywhere
icpsr_villanueva,1369,CSQ,cosquare,False,False,False,not_found_anywhere
icpsr_villanueva,1370,HBL,humbyl,False,False,False,not_found_anywhere
icpsr_villanueva,1372,CRAFTR,craftr,False,False,False,not_found_anywhere
icpsr_villanueva,1373,HiH,hihealth,False,False,False,not_found_anywhere
icpsr_villanueva,1376,XEBS,ebosia,False,False,False,not_found_anywhere
icpsr_villanueva,1377,FR8,fr8network,False,False,False,not_found_anywhere
icpsr_villanueva,1378,APZ,alprockz,False,False,False,not_found_anywhere
icpsr_villanueva,1382,K2G,kasko2go,False,False,False,not_found_anywhere
icpsr_villanueva,1385,QWS,qwasder,False,False,False,not_found_anywhere
icpsr_villanueva,1391,ECHG,echargework,False,False,False,not_found_anywhere
icpsr_villanueva,1392,SCCTN,smartcity,False,False,False,not_found_anywhere
icpsr_villanueva,1393,BAILS,bailsman,False,False,False,not_found_anywhere
icpsr_villanueva,1394,WU,wulet,False,False,False,not_found_anywhere
