web adress,name,ticker,ico success,industry,platform,ieo,mininvest,country,kyc,wlist,regulkyc,regtax,restusa,restchina,tokens f sale,accepting,eth,btc,fiat,ltc,dash,xrp,zec,neo,eos,other,protocol type,distributed in ico,softcap,hardcap,amount raised,circsupply,price mkt,price pre ico,price ico,regulkyc dates,pre ico starts,pre ico ends,total days,ico starts,ico ends,total days.1,artificial intelligence,art,banking,big data,business services,charity,communication,cryptocurrency,education,electronics,energy,enterntainment,health,infrastructre,internet,investment,legal,manufacturing,media,platform.1,real estate,retail,smart contract,software,sports,tourism,virtual reality,other.1,name_std,symbol_std,softcap_usd,hardcap_usd,amount raised_usd,ico_successful,regulkyc dates_parsed
/ico/cryptocasher,CryptoCasher,CRR,0,8,6.0,0,,4,1.0,1.0,1.0,0.0,1,1,75000000.0,,,,,,,,,,,,6.0,0.7,2891520.0,380192433.33,23341.0,,,,0.279,2017-11-27 00:00:00,2018-10-02,2018-11-02,31,2018-11-02,2019-03-02,120.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cryptocasher,CRR,2891520.0,380192433.33,23341.0,0,2017-11-27
/ico/cryptoxygen,Cryptoxygen,OXY2,1,16,6.0,0,1.0,4,1.0,0.0,1.0,0.0,0,0,150000000.0," ETH, BTC, Fiat",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.6,3500000.0,30000000.0,400000.0,,,1 OXY2 = 0.1 USD,0.12,2017-11-27 00:00:00,,,0,2019-01-15,2019-04-30,105.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,cryptoxygen,OXY2,3500000.0,30000000.0,400000.0,1,2017-11-27
/ico/ten-token,TEN Token,GDEM,1,20,6.0,1,0.0,4,,,1.0,0.0,0,0,5000000000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,,,576000.0,,,,,2017-11-27 00:00:00,,,0,2019-05-20,2019-05-23,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tentoken,GDEM,,,576000.0,1,2017-11-27
/ico/zantepay,Zantepay,ZNX,1,3,6.0,0,1.0,4,1.0,0.0,1.0,0.0,1,1,600000000.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3,550575.0,33034500.0,700000.0,,,,,2017-11-27 00:00:00,2018-03-15,2018-07-15,122,2018-04-15,2018-07-15,91.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zantepay,ZNX,550575.0,33034500.0,700000.0,1,2017-11-27
/ico/parsec-frontiers,Parsec Frontiers,PARSEC,1,12,6.0,0,0.0,4,,,1.0,0.0,0,0,18514065480.0,ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1542144.0,72610418.23,740554.0,,,"1 ETH = 845,000 PARSEC",0.0004,2017-11-27 00:00:00,,,0,2018-05-15,2018-05-31,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parsecfrontiers,PARSEC,1542144.0,72610418.23,740554.0,1,2017-11-27
/ico/taylor,Taylor,TAY,1,7,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,1,7600000.0, ETH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.76,240960.0,37765781.71,1012863.0,,,,0.3928,2017-11-27 00:00:00,,,0,2018-02-21,2018-03-22,29.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,taylor,TAY,240960.0,37765781.71,1012863.0,1,2017-11-27
/ico/yanu,Yanu,YANU,1,1,6.0,1,0.0,4,1.0,1.0,1.0,0.0,0,0,100000.0,"BTC, ETH, DASH, LTC, USD",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.25,1000000.0,10000000.0,1130500.0,,,,,2017-11-27 00:00:00,2018-10-10,2018-11-07,28,2019-04-26,2019-05-26,30.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yanu,YANU,1000000.0,10000000.0,1130500.0,1,2017-11-27
/ico/treon,Treon,TXO,1,7,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,0,429700000.0,"BTC, ETH",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.43,4000000.0,25000000.0,1137000.0,,,,0.11,2017-11-27 00:00:00,2018-05-21,2018-06-17,27,2018-06-18,2018-12-31,196.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,treon,TXO,4000000.0,25000000.0,1137000.0,1,2017-11-27
/ico/citowise,Citowise,CTW,1,5,6.0,0,1.0,4,1.0,1.0,1.0,0.0,1,0,245000000.0,"BTC, ETH, LTC",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.7,9638400.0,392865514.44,1240000.0,,,,0.0538,2017-11-27 00:00:00,2018-09-15,2018-10-15,30,2018-11-15,2019-01-15,61.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,citowise,CTW,9638400.0,392865514.44,1240000.0,1,2017-11-27
/ico/geco-one,Geco.one,GEC,1,20,6.0,1,0.0,4,1.0,1.0,1.0,0.0,0,0,1000000000.0,"BTC, ETH, USD, EUR, GBP",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,,18668518.71,1250000.0,,,,0.41,2017-11-27 00:00:00,2019-05-01,2019-06-30,60,2019-07-01,2019-07-14,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gecoone,GEC,,18668518.71,1250000.0,1,2017-11-27
